19010101	-72
19010102	-28
19010103	-28
19010104	-33
19010105	6
19010106	6
19010107	-33
19010108	-28
19010109	-28
19010110	-44
19010111	-39
19010112	-22
19010113	0
19010114	-33
19010115	22
19010116	28
19010117	-17
19010118	-44
19010119	-22
19010120	-22
19010121	-17
19010122	-6
19010123	11
19010124	17
19010125	6
19010126	-6
19010127	-28
19010128	-28
19010129	-11
19010130	-33
19010131	-61
19010201	-67
19010202	-22
19010203	-33
19010204	-61
19010205	-28
19010206	-122
19010207	-111
19010208	-117
19010209	-106
19010210	-106
19010211	-122
19010212	-128
19010213	-100
19010214	-178
19010215	-178
19010216	-106
19010217	-122
19010218	-89
19010219	-78
19010220	-61
19010221	-44
19010222	-139
19010223	-144
19010224	-156
19010225	-106
19010226	-111
19010227	-72
19010228	-156
19010301	-150
19010302	-133
19010303	-67
19010304	-22
19010305	-17
19010306	22
19010307	0
19010308	-6
19010309	-11
19010310	0
19010311	22
19010312	-6
19010313	17
19010314	-11
19010315	6
19010316	-6
19010317	-28
19010318	-50
19010319	-39
19010320	-33
19010321	-61
19010322	-28
19010323	17
19010324	-11
19010325	-111
19010326	-94
19010327	-100
19010328	-89
19010329	-72
19010330	-56
19010331	-39
19010401	11
19010402	17
19010403	0
19010404	28
19010405	17
19010406	0
19010407	-6
19010408	22
19010409	22
19010410	33
19010411	28
19010412	-6
19010413	0
19010414	-28
19010415	-50
19010416	-44
19010417	0
19010418	6
19010419	0
19010420	-6
19010421	-6
19010422	17
19010423	17
19010424	17
19010425	28
19010426	22
19010427	28
19010428	33
19010429	22
19010430	28
19010501	44
19010502	50
19010503	39
19010504	0
19010505	0
19010506	-11
19010507	0
19010508	33
19010509	44
19010510	33
19010511	72
19010512	72
19010513	89
19010514	67
19010515	83
19010516	33
19010517	17
19010518	28
19010519	33
19010520	50
19010521	44
19010522	50
19010523	50
19010524	50
19010525	56
19010526	61
19010527	39
19010528	44
19010529	33
19010530	50
19010531	67
19010601	56
19010602	94
19010603	61
19010604	67
19010605	128
19010606	94
19010607	100
19010608	100
19010609	128
19010610	156
19010611	106
19010612	100
19010613	94
19010614	78
19010615	78
19010616	78
19010617	111
19010618	111
19010619	111
19010620	122
19010621	106
19010622	133
19010623	161
19010624	200
19010625	194
19010626	178
19010627	133
19010628	128
19010629	111
19010630	128
19010701	128
19010702	117
19010703	122
19010704	133
19010705	128
19010706	161
19010707	172
19010708	144
19010709	167
19010710	178
19010711	172
19010712	150
19010713	178
19010714	178
19010715	161
19010716	167
19010717	189
19010718	178
19010719	200
19010720	211
19010721	200
19010722	206
19010723	239
19010724	222
19010725	222
19010726	211
19010727	206
19010728	228
19010729	217
19010730	194
19010731	194
19010801	183
19010802	211
19010803	167
19010804	189
19010805	161
19010806	167
19010807	156
19010808	172
19010809	156
19010810	200
19010811	194
19010812	161
19010813	178
19010814	167
19010815	200
19010816	217
19010817	217
19010818	183
19010819	189
19010820	156
19010821	139
19010822	161
19010823	172
19010824	150
19010825	144
19010826	150
19010827	161
19010828	183
19010829	161
19010830	133
19010831	117
19010901	100
19010902	89
19010903	100
19010904	106
19010905	106
19010906	106
19010907	111
19010908	111
19010909	117
19010910	117
19010911	106
19010912	100
19010913	106
19010914	111
19010915	111
19010916	117
19010917	122
19010918	117
19010919	117
19010920	122
19010921	100
19010922	111
19010923	111
19010924	117
19010925	111
19010926	111
19010927	117
19010928	117
19010929	117
19010930	122
19011001	100
19011002	94
19011003	111
19011004	117
19011005	117
19011006	128
19011007	111
19011008	100
19011009	94
19011010	89
19011011	111
19011012	83
19011013	89
19011014	61
19011015	67
19011016	83
19011017	89
19011018	100
19011019	78
19011020	78
19011021	94
19011022	94
19011023	56
19011024	72
19011025	83
19011026	78
19011027	78
19011028	89
19011029	72
19011030	61
19011031	78
19011101	78
19011102	78
19011103	33
19011104	39
19011105	67
19011106	61
19011107	50
19011108	-6
19011109	17
19011110	17
19011111	-17
19011112	-6
19011113	-22
19011114	-50
19011115	-28
19011116	6
19011117	-6
19011118	-11
19011119	-22
19011120	-33
19011121	-22
19011122	-50
19011123	0
19011124	-17
19011125	22
19011126	-22
19011127	33
19011128	-11
19011129	-33
19011130	-89
19011201	-61
19011202	-39
19011203	-61
19011204	-6
19011205	6
19011206	6
19011207	0
19011208	11
19011209	-22
19011210	-61
19011211	-56
19011212	-72
19011213	-50
19011214	-39
19011215	-72
19011216	-78
19011217	-94
19011218	-111
19011219	-83
19011220	-44
19011221	-39
19011222	-83
19011223	-122
19011224	-83
19011225	-106
19011226	-144
19011227	-117
19011228	-117
19011229	-122
19011230	-89
19011231	-72
19010101	-67
19010102	-17
19010103	-11
19010104	-6
19010105	6
19010106	6
19010107	-39
19010108	-11
19010109	-11
19010110	0
19010111	0
19010112	11
19010113	11
19010114	-6
19010115	-6
19010116	22
19010117	0
19010118	0
19010119	0
19010120	6
19010121	-17
19010122	17
19010123	22
19010124	22
19010125	17
19010126	11
19010127	-17
19010128	-22
19010129	-17
19010130	-33
19010131	-39
19010201	-17
19010202	-28
19010203	-33
19010204	-11
19010205	-28
19010206	-33
19010207	-6
19010208	-17
19010209	-11
19010210	-50
19010211	-78
19010212	-100
19010213	-83
19010214	-89
19010215	-183
19010216	-33
19010217	-83
19010218	-89
19010219	-89
19010220	-56
19010221	-22
19010222	-78
19010223	-28
19010224	-133
19010225	-22
19010226	-61
19010227	-17
19010228	-56
19010301	-100
19010302	-122
19010303	-100
19010304	0
19010305	6
19010306	17
19010307	17
19010308	0
19010309	-6
19010310	17
19010311	22
19010312	-11
19010313	17
19010314	39
19010315	50
19010316	6
19010317	17
19010318	-22
19010319	-17
19010320	-28
19010321	-50
19010322	-17
19010323	11
19010324	22
19010325	-89
19010326	-83
19010327	-67
19010328	-6
19010329	-39
19010330	-17
19010331	-11
19010401	22
19010402	39
19010403	39
19010404	39
19010405	17
19010406	17
19010407	11
19010408	39
19010409	39
19010410	22
19010411	50
19010412	11
19010413	44
19010414	28
19010415	0
19010416	11
19010417	6
19010418	6
19010419	28
19010420	6
19010421	17
19010422	39
19010423	50
19010424	33
19010425	33
19010426	61
19010427	72
19010428	67
19010429	89
19010430	83
19010501	61
19010502	83
19010503	50
19010504	28
19010505	-6
19010506	0
19010507	17
19010508	28
19010509	122
19010510	178
19010511	144
19010512	144
19010513	100
19010514	133
19010515	111
19010516	56
19010517	44
19010518	33
19010519	56
19010520	50
19010521	78
19010522	106
19010523	94
19010524	67
19010525	78
19010526	100
19010527	72
19010528	100
19010529	106
19010530	78
19010531	128
19010601	117
19010602	117
19010603	111
19010604	83
19010605	156
19010606	150
19010607	144
19010608	172
19010609	189
19010610	156
19010611	133
19010612	122
19010613	128
19010614	94
19010615	156
19010616	128
19010617	189
19010618	222
19010619	161
19010620	172
19010621	156
19010622	167
19010623	183
19010624	278
19010625	244
19010626	200
19010627	150
19010628	128
19010629	144
19010630	150
19010701	139
19010702	139
19010703	128
19010704	117
19010705	128
19010706	150
19010707	144
19010708	144
19010709	139
19010710	178
19010711	183
19010712	161
19010713	178
19010714	194
19010715	172
19010716	211
19010717	161
19010718	206
19010719	206
19010720	222
19010721	233
19010722	233
19010723	244
19010724	267
19010725	233
19010726	244
19010727	233
19010728	244
19010729	244
19010730	222
19010731	206
19010801	189
19010802	239
19010803	156
19010804	206
19010805	200
19010806	194
19010807	183
19010808	178
19010809	172
19010810	217
19010811	217
19010812	222
19010813	217
19010814	228
19010815	278
19010816	250
19010817	278
19010818	183
19010819	189
19010820	183
19010821	167
19010822	178
19010823	183
19010824	150
19010825	133
19010826	161
19010827	222
19010828	183
19010829	128
19010830	156
19010831	139
19010901	111
19010902	94
19010903	83
19010904	94
19010905	89
19010906	94
19010907	122
19010908	133
19010909	133
19010910	133
19010911	150
19010912	133
19010913	111
19010914	106
19010915	128
19010916	122
19010917	161
19010918	139
19010919	128
19010920	139
19010921	150
19010922	156
19010923	133
19010924	172
19010925	156
19010926	139
19010927	128
19010928	139
19010929	156
19010930	150
19011001	128
19011002	139
19011003	133
19011004	133
19011005	133
19011006	133
19011007	122
19011008	83
19011009	111
19011010	117
19011011	122
19011012	111
19011013	100
19011014	94
19011015	78
19011016	106
19011017	100
19011018	100
19011019	100
19011020	83
19011021	100
19011022	100
19011023	106
19011024	94
19011025	100
19011026	94
19011027	94
19011028	111
19011029	78
19011030	78
19011031	83
19011101	78
19011102	83
19011103	89
19011104	50
19011105	61
19011106	72
19011107	50
19011108	28
19011109	17
19011110	28
19011111	-28
19011112	22
19011113	-78
19011114	-39
19011115	-33
19011116	6
19011117	22
19011118	0
19011119	-17
19011120	0
19011121	0
19011122	0
19011123	33
19011124	0
19011125	44
19011126	22
19011127	28
19011128	17
19011129	-28
19011130	-72
19011201	-61
19011202	-6
19011203	-28
19011204	-17
19011205	0
19011206	17
19011207	17
19011208	11
19011209	-17
19011210	-106
19011211	-89
19011212	-83
19011213	-106
19011214	-72
19011215	-78
19011216	-72
19011217	-50
19011218	-72
19011219	-44
19011220	-39
19011221	-22
19011222	-39
19011223	-139
19011224	-139
19011225	-117
19011226	-122
19011227	117
19011228	-89
19011229	-28
19011230	-6
19011231	6
19010101	-117
19010102	-39
19010103	-33
19010104	-17
19010105	6
19010106	6
19010107	-33
19010108	-39
19010109	-17
19010110	-11
19010111	-11
19010112	-11
19010113	-6
19010114	-50
19010115	-33
19010116	-28
19010117	-56
19010118	-67
19010119	0
19010120	0
19010121	-28
19010122	17
19010123	17
19010124	33
19010125	11
19010126	11
19010127	-6
19010128	-28
19010129	-33
19010130	-67
19010131	-22
19010201	-17
19010202	-33
19010203	-61
19010204	-22
19010205	-22
19010206	-72
19010207	-44
19010208	-50
19010209	-6
19010210	-111
19010211	-167
19010212	-133
19010213	-133
19010214	-161
19010215	-206
19010216	-67
19010217	-89
19010218	-100
19010219	-100
19010220	-78
19010221	-39
19010222	-106
19010223	-22
